city,population
auckland,1606564
baltimore ,602495
barcelona,5585556
berlin,3562038
bogota,10978360
brisbane,2406182
denver,716492
doha,641380
fairbanks,31516
hamilton,165400
hanoi,7680000
hong_kong,7477106
ilorin,949866
kuala_lumpur,7996830
kyiv,2887974
lisbon,2956879
london,9305016
marseille,1608236
minneapolis,425403
naples,2186853
new_york_city,8398748
offa,90000
oslo,1041377
paris,1101730
porto,1312947
rio_de_janeiro,13458075
sacramento,508529
san_francisco,883305
santiago,6767223
sao_paulo,22043028
sendai,2327417
seoul,9963452
singapore,5846820
sofia,1280968
stockholm,1632798
taipei,2704810
tokyo,3739329
vienna,1929944
yamaguchi,197422
zurich,1395356