Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Knightsbridge,527765,179650,51.5013549,-0.160664486,1,SW3 1ED
Knockholt,548499,162896,51.34575194,0.130831039,6,TN14 7HR
Ladbroke Grove,524284,181328,51.51721067,-0.210198172,2,W10 6HJ
Ladywell,537716,174884,51.45619214,-0.019244401,3,SE13 7XB
Lambeth North,531165,179489,51.49912995,-0.111768261,1,SE1 7XG
Lancaster Gate,526711,180796,51.51189094,-0.175429929,1,W2 4QH
Langdon Park,537807,181863,51.51888394,-0.015213799,2,E14 6NW
Latimer Road,523789,180954,51.5139581,-0.217459666,2,W10 6SZ
Lea Bridge,536175,187133,51.56663626,-0.036683158,3,E10 7PG
Lebanon Road,533385,165756,51.375199,-0.084973649,"3,4,5,6",CR0 6SF
Lee,540002,174197,51.44945852,0.013364692,3,SE12 9JG
Leicester Square,529987,180812,51.51129118,-0.128242148,1,WC2H 0AP
Lewisham,538163,175863,51.46488071,-0.012432701,"2,3",SE13 7RY
Leyton,538295,186244,51.55813227,-0.006465332,3,E10 5PS
Leyton Midland Road,538150,187490,51.56936424,-0.008066347,3,E10 6JT
Leytonstone,539345,187429,51.56852229,0.009140452,"3,4",E11 1HE
Leytonstone High Road,539298,186903,51.56380734,0.008254469,3,E11 4RE
Limehouse,536150,181087,51.51231216,-0.039380078,2,E14 7JD
Liverpool Street,533160,181596,51.51759826,-0.082249622,1,EC2M 7PR
Lloyd Park,533711,164549,51.36427554,-0.080746273,"3,4,5,6",CR0 5RA
London Bridge,532937,180152,51.50467435,-0.086005598,1,SE1 2SW
London City Airport,542231,180294,51.50368966,0.047872715,3,E16 2DS
London Fields,534795,184212,51.54071884,-0.057699686,2,E8 3PH
Loughborough Junction,531902,175897,51.4666789,-0.102497342,2,SW9 8SA
Loughton,542314,195641,51.64157048,0.055279079,6,IG10 4PD
Lower Sydenham,536831,171372,51.42484684,-0.033330342,4,SE26 5AU
Maida Vale,525967,182792,51.52999506,-0.185432647,2,W9 1JS
Malden Manor,521101,166497,51.38460954,-0.261120416,4,KT3 5PN
Manor House,532074,187482,51.57074714,-0.095684976,"2,3",N4 1BZ
Manor Park,541929,185757,51.55285435,0.04572387,"3,4",E12 5EP
Mansion House,532347,180962,51.51209175,-0.094197658,1,EC4N 6JD
Marble Arch,527875,181056,51.51396549,-0.158571216,1,W1C 2JS
Maryland,539175,184881,51.54566827,0.005681654,3,E15 1SA
Marylebone,527510,181985,51.52239667,-0.163492564,1,NW1 6JJ
Maze Hill,539194,177909,51.48301366,0.003204897,3,SE10 9XG
Merton Park,525182,169798,51.41339161,-0.201342031,"3,4,5,6",SW19 3HA
Mile End,536577,182545,51.52531097,-0.032666084,2,E3 4DH
Mill Hill Broadway,521300,191900,51.61287113,-0.249537068,4,NW7 2JU
Mill Hill East,524057,191460,51.60831664,-0.209895713,4,NW7 1BS
Mitcham,527345,168082,51.39748861,-0.170871647,"3,4,5,6",CR4 4BD
Mitcham Eastfields,528488,169323,51.40838391,-0.154001719,3,CR4 2ND
Mitcham Junction,528292,167611,51.39304257,-0.157436644,4,CR4 4HN
Monument,532907,180814,51.51063042,-0.086188314,1,EC4R 9AA
Moor Park,508563,193509,51.62993067,-0.432913027,"6,7",HA6 2JQ
Moorgate,532688,181677,51.51843714,-0.089017688,1,EC2M 6TX
Morden,525664,168563,51.40218596,-0.194851982,4,SM4 5AZ
Morden Road,525788,169310,51.40887189,-0.192805677,"3,4,5,6",SW19 3BX
Morden South,525301,167900,51.3963077,-0.200301562,4,SM4 5AN
Mornington Crescent,529193,183359,51.53436222,-0.13874435,2,NW1 2JA
Mortlake,520458,175779,51.46816794,-0.267203314,3,SW14 8LN
Motspur Park,522581,167724,51.39531963,-0.239439746,4,KT3 6JJ
Mottingham,542600,173197,51.43982498,0.050324202,4,SE9 4EN
Mudchute,537908,178789,51.49123619,-0.014959945,2,E14 9UW
Neasden,521415,185422,51.55462772,-0.250115045,3,NW10 1PH
New Addington,538187,162255,51.34259051,-0.017383327,"3,4,5,6",CR0 0DE
New Barnet,526502,195996,51.64853677,-0.172969714,5,EN5 1QT
New Beckenham,536718,170463,51.41670555,-0.035304949,4,BR3 1QW
New Cross,536750,177110,51.47642942,-0.032278812,2,SE14 6LD
New Cross Gate,536250,176967,51.47526493,-0.039529052,2,SE14 6AR
New Eltham,544005,172999,51.43769066,0.070444618,4,SE9 2AB
New Malden,521392,168612,51.40355591,-0.256218106,4,KT3 4PX
New Southgate,528672,192218,51.61409367,-0.143009776,4,N11 1QH
Newbury Park,544947,188378,51.57563836,0.090303158,4,IG2 7RN
Norbiton,519424,169495,51.41190935,-0.284199948,5,KT2 7AZ
Norbury,530650,169690,51.4111885,-0.122799402,3,SW16 3RW
North Acton,520831,181937,51.52343243,-0.259729528,"2,3",W3 6UP
North Dulwich,532950,174567,51.45448181,-0.087918681,"2,3",SE21 7BX
North Ealing,518816,181243,51.51762229,-0.288993553,3,W5 3AF
North Greenwich,539168,179827,51.50025515,0.003586259,"2,3",SE10 0PH
North Harrow,513540,188578,51.5846313,-0.362632993,5,HA2 7SR
North Sheen,519132,175442,51.46541961,-0.286397467,3,TW9 4QA
North Wembley,517663,186198,51.56239629,-0.303948219,4,HA0 3NT
Northfields,517051,179296,51.50049167,-0.315064819,3,W13 9QU
Northolt,513228,184519,51.5482129,-0.368440596,5,UB5 4AA
Northolt Park,513829,185579,51.55761905,-0.359434196,5,UB5 4XE
Northumberland Park,534861,191035,51.60201573,-0.054132026,3,N17 0HY
Northwick Park,516634,187967,51.57850869,-0.318199392,4,HA3 0AT
Northwood,509236,191441,51.61121361,-0.423837787,6,HA6 2XL
Northwood Hills,510267,190305,51.60080265,-0.409311358,6,HA6 1NZ
Norwood Junction,534001,168193,51.39695432,-0.075209857,4,SE25 5AG
Notting Hill Gate,525296,180481,51.50937534,-0.195921618,"1,2",W11 3HT
Nunhead,535293,175975,51.46657998,-0.053679743,2,SE15 3XE
Oakleigh Park,527001,194800,51.63767636,-0.166194967,4,EN5 1BU
Oakwood,529349,195968,51.64763796,-0.13185354,5,N14 4UT
Ockendon,559004,182828,51.52198965,0.290483475,7,RM15 6PD
Old Street,532764,182474,51.52558147,-0.087622958,1,EC1V 9NR
Orpington,545500,165900,51.37352005,0.089028901,6,BR6 0SX
Osterley,514529,177094,51.48121681,-0.352096096,4,TW7 4PU
Oval,531108,177516,51.4814126,-0.113321076,2,SE11 4PP
Oxford Circus,529102,181227,51.5152234,-0.140836171,1,W1C 2JS
Paddington,526680,181185,51.51539379,-0.175736752,1,W2 1RH
Palmers Green,530925,192798,51.61878675,-0.1102725,4,N13 4PN
Park Royal,519074,182274,51.52683402,-0.284928918,3,W5 3EL
Parsons Green,525029,176645,51.47496015,-0.201124492,2,SW6 4HU
Peckham Rye,534152,176271,51.46951136,-0.069983553,2,SE15 5DQ
Penge East,535374,170791,51.41997535,-0.054495265,4,SE20 7BQ
Penge West,534952,170567,51.41806293,-0.060645765,4,SE20 8NU
Perivale,516404,183270,51.53634182,-0.323070422,4,UB6 7NP
Petts Wood,544440,167548,51.38859899,0.07448003,5,BR5 1LZ
Phipps Bridge,526534,168717,51.40337673,-0.182296789,"3,4,5,6",CR4 3QN
Piccadilly Circus,529612,180625,51.50969675,-0.133711597,1,W1J 9HS
Pimlico,529711,178386,51.48955286,-0.133108258,1,SW1V 2JA
Pinner,512233,189409,51.59236168,-0.38122379,5,HA5 5LZ
Plaistow,540058,183305,51.53128834,0.017780642,3,E13 0DY
Plumstead,544803,178820,51.48979242,0.084299617,4,SE18 7EA
Ponders End,536097,195599,51.64273069,-0.034525105,5,EN3 4LA
Pontoon Dock,541226,180102,51.50221622,0.033325707,3,E16 2SB
Poplar,537698,180603,51.50758807,-0.017275493,2,E14 0DS
Preston Road,518260,187292,51.57210373,-0.294972013,4,HA3 0PS
Prince Regent,541215,180905,51.50943455,0.033488574,3,E16 3HE
Pudding Mill Lane,537930,183585,51.53432785,-0.012768512,"2,3",E15 2PH
Purfleet,555417,178174,51.48117301,0.236774836,7,RM16 1PL
Purley,531500,161497,51.33736355,-0.113613518,6,CR8 2AP
Purley Oaks,532503,162594,51.34698934,-0.098815333,6,CR2 0ND
Putney,523992,175061,51.46095253,-0.216603374,"2,3",SW15 1RT
Putney Bridge,524476,175842,51.46786534,-0.209365417,2,SW6 3UH
Queens Park,524612,183239,51.53431265,-0.204798149,2,NW6 6HJ
Queens Road Peckham,535015,176825,51.47428471,-0.057354979,2,SE15 2JR
Queensbury,518802,189728,51.59388298,-0.286331597,4,HA8 5NP
Queenstown Road,528763,176738,51.47495913,-0.147355312,2,SW8 3RX
Queensway,525883,180615,51.51044923,-0.187419903,1,W2 4SS
Rainham,552097,182099,51.51734052,0.190691975,6,RM13 9YH
Ravensbourne,538699,170201,51.41387038,-0.006937816,4,BR3 5HE
Ravenscourt Park,522558,178711,51.49406798,-0.235969233,2,W6 0UG
Rayners Lane,512979,187538,51.57539673,-0.371060814,5,HA5 5EG
Raynes Park,523206,169303,51.40937535,-0.229912939,4,SW20 8NE
Rectory Road,534001,186199,51.55876348,-0.068385665,2,N16 7QB
Redbridge,541833,188371,51.57636692,0.045394044,4,IG4 5BG
Reedham,530835,160821,51.33144171,-0.123402624,6,CR8 2DG
Reeves Corner,531895,165726,51.3752772,-0.106379778,"3,4,5,6",CR0 1XP
Regents Park,528765,182174,51.52381067,-0.145344411,1,NW1 5HA
Richmond,518072,175174,51.46323289,-0.301739134,4,TW9 2AZ
Rickmansworth,505717,194605,51.64032301,-0.473684584,7,WD3 1QY
Riddlesdown,532497,161001,51.33267483,-0.099493667,6,CR8 1HN
Roding Valley,541612,192882,51.61695645,0.044026207,4,IG9 6LN
Romford,551377,188455,51.57464159,0.183055272,6,RM1 1SX
Rotherhithe,535239,179870,51.5015945,-0.052966296,2,SE16 4LF
Royal Albert,542029,180823,51.50849387,0.045177145,3,E16 2QD
Royal Oak,525764,181485,51.51829435,-0.188823674,2,W2 6ET
Royal Victoria,540139,180833,51.50905524,0.017965413,3,E16 1DE
Ruislip,509510,187102,51.57216192,-0.421234926,6,HA4 8LD
Ruislip Gardens,510367,185763,51.55996018,-0.409294111,5,HA4 6LG
Ruislip Manor,510088,187258,51.57345157,-0.412849354,6,HA4 9AA
Russell Square,530207,182122,51.52301304,-0.124590198,1,WC1N 1LG
Sanderstead,532855,162743,51.34824625,-0.0937085,6,CR2 0PL
Sandilands,533869,165749,51.37502227,-0.07802659,"3,4,5,6",CR0 5PN
Selhurst,532993,167636,51.39218577,-0.089899037,4,SE25 6LL
Seven Kings,545401,187095,51.56399335,0.096319575,4,IG3 8RE
Seven Sisters,533646,188927,51.58336216,-0.072466823,3,N15 5LA
Shadwell,534936,180942,51.51130016,-0.056919207,2,E1 2QE
Shenfield,561356,195022,51.6308731,0.329952264,7,CM15 8JD
Shepherds Bush,523741,179904,51.50453215,-0.218519159,2,W12 8LH
Shepherds Bush Market,523121,180039,51.50588071,-0.227400493,2,W12 7JD
Shoreditch High Street,533501,182258,51.52346682,-0.077087425,1,E1 6AW
Shortlands,539399,169300,51.40560237,0.002767544,4,BR2 0JA
Sidcup,546300,172698,51.43439846,0.103315359,5,DA15 7AW
Silver Street,533544,192472,51.61524248,-0.072589742,4,N18 1QX
Slade Green,552250,176584,51.46774766,0.190518388,6,DA8 2NX
Sloane Square,528080,178657,51.49235976,-0.156488857,1,SW1W 8BB
Snaresbrook,540161,188828,51.58089127,0.021463928,4,E11 1QE
South Acton,520166,179279,51.49968583,-0.270215208,3,W3 0DS
South Bermondsey,535156,178319,51.48767662,-0.054754821,2,SE16 2PL
South Croydon,532896,164358,51.3627502,-0.092517363,5,CR2 7PA
South Ealing,517605,179437,51.50164402,-0.307040245,3,W5 4QB
South Greenford,515462,182991,51.53402756,-0.336737482,4,UB6 2WE
South Hampstead,526425,184081,51.54147685,-0.1783712,2,NW8 0DJ
South Harrow,514334,186376,51.56468017,-0.351893971,5,HA2 8HN
South Kensington,526865,178817,51.49407137,-0.173923023,1,SW7 2NB
South Kenton,517350,187153,51.57104445,-0.308142977,4,HA9 8QT
South Merton,524917,168662,51.40324056,-0.205550301,4,SW20 9JT
South Quay,537636,179853,51.50086361,-0.018460693,2,E14 9SH
South Ruislip,511080,185437,51.5568903,-0.39911591,5,HA4 6TP
South Tottenham,533697,188599,51.58040259,-0.071855957,3,N15 6ND
South Wimbledon,525828,170033,51.41536071,-0.191974546,"3,4",SW19 1DE
South Woodford,540577,190026,51.59155262,0.027943078,4,E18 1JJ
Southall,512620,179804,51.50595691,-0.37871119,4,UB2 4AA
Southbury,534803,196199,51.64843373,-0.052983311,5,EN3 4HW
Southfields,524730,173291,51.44488331,-0.206609386,3,SW18 5RJ
Southgate,529675,194278,51.63237585,-0.127770047,4,N14 5BH
Southwark,531566,180025,51.50385362,-0.10579494,1,SE1 8NW
St Helier,525408,167191,51.38991216,-0.199014592,4,SM4 6SF
St James Street,536402,188694,51.58060866,-0.032804562,3,E17 7PJ
St Johns,537400,176298,51.46897529,-0.023240662,2,SE8 4EW
St Margarets,516732,174250,51.45520599,-0.321324248,4,TW1 2LH
St Mary Cray,546698,168298,51.39475941,0.1072179,6,BR5 3SN
St Pancras,530122,182959,51.5305544,-0.125505782,1,NW1 2QP
St. James's Park,529629,179503,51.49960979,-0.133878755,1,SW1H 0BD
St. Johns Wood,526742,183352,51.53485441,-0.17406484,2,NW8 6DN
St. Pauls,532105,181261,51.5148353,-0.097571001,1,EC2V 6AA
Stamford Brook,521913,178738,51.49444997,-0.24524631,2,W6 0SB
Stamford Hill,533381,187928,51.5744476,-0.076668342,3,N16 5AG
Stanmore,517574,192569,51.61967344,-0.303099293,5,HA7 4PD
Star Lane,539148,182091,51.52060425,0.004191003,3,E16 4SR
Stepney Green,535566,182149,51.52199583,-0.047382523,2,E1 4AQ
Stockwell,530473,176470,51.47215926,-0.122846304,2,SW9 9AE
Stoke Newington,533710,186845,51.56463761,-0.072335395,2,N16 6YA
Stonebridge Park,519690,184197,51.54398655,-0.275400442,3,NW10 0RW
Stoneleigh,522021,164155,51.36336405,-0.248709657,5,KT17 2JA
Stratford,538533,184421,51.54169258,-0.003751641,3,E15 1AZ
Stratford High Street,538729,184032,51.53814895,-0.001080356,3,E15 3PA
Stratford International,538175,184758,51.54480853,-0.008778434,3,E15 2LZ
Strawberry Hill,515500,172502,51.43974783,-0.339617731,5,TW1 4PP
Streatham,529946,171303,51.42584586,-0.132325497,3,SW16 6HP
Streatham Common,529729,170534,51.41898467,-0.135726165,3,SW16 5NT
Streatham Hill,530233,172714,51.43846037,-0.127681481,3,SW2 4PA
Sudbury and Harrow Road,516853,185300,51.55449378,-0.315926242,4,HA0 2HA
Sudbury Hill,515427,185584,51.55733956,-0.336392115,4,HA1 3RA
Sudbury Hill Harrow,515490,185697,51.55834227,-0.335446693,4,HA1 3RJ
Sudbury Town,516832,184955,51.55139744,-0.316343486,4,HA0 2LA
Sundridge Park,540599,170200,51.4133938,0.020365109,4,BR1 3TR
Surbiton,518070,167315,51.39259953,-0.30438456,6,KT6 4PE
Surrey Quays,535641,178954,51.49326686,-0.047529988,2,SE16 2UE
Sutton,526028,163823,51.35950614,-0.191302011,5,SM1 1JA
Sutton Common,525593,165598,51.37555469,-0.196919912,4,SM1 3HY
Swiss Cottage,526611,184259,51.54303485,-0.175626604,2,NW3 6HY
Sydenham,535311,171609,51.42734125,-0.055088671,3,SE26 5EU
Sydenham Hill,533548,172145,51.43257589,-0.080230208,3,SE21 7HW
Syon Lane,516306,177163,51.48147469,-0.326495035,4,TW7 5NT
Tadworth,523097,156199,51.29162786,-0.236008016,6,KT20 5SP
Tattenham Corner,522593,158140,51.30918131,-0.242566273,6,KT18 5PR
Teddington,516019,170817,51.4244975,-0.332705337,6,TW11 9AA
Temple,530995,180810,51.51104061,-0.11372575,1,WC2R 2PH
Thames Ditton,515721,166818,51.38861607,-0.338292838,6,KT7 0PA
Theobalds Grove,535933,201119,51.69237259,-0.034748134,7,EN8 7BG
Therapia Lane,530290,166843,51.38568579,-0.129017107,"3,4,5,6",CR0 3DD
Theydon Bois,545509,199180,51.67255208,0.102890736,6,CM16 7EU
Thornton Heath,532242,168317,51.39848108,-0.100433165,4,CR7 8RX
Tolworth,519834,165603,51.37684332,-0.279620115,5,KT5 9NU
Tooting,527969,170591,51.41989663,-0.161002472,3,SW17 9JR
Tooting Bec,528015,172366,51.43583806,-0.159700492,3,SW17 9AH
Tooting Broadway,527415,171373,51.42704914,-0.168684527,3,SW17 0SU
Tottenham Court Road,529774,181354,51.51621087,-0.131110439,1,W1D 2DA
Tottenham Hale,534483,189465,51.58799778,-0.060187823,3,N17 9LR
Totteridge and Whetstone,526111,193951,51.63024672,-0.179354263,4,N20 9QP
Tower Gateway,533725,180809,51.51039264,-0.074409877,1,EC3N 1JL
Tower Hill,533566,180805,51.51039427,-0.076701198,1,EC3N 4DJ
Tufnell Park,529200,185816,51.5564408,-0.137742175,2,N19 5QB
Tulse Hill,531797,172903,51.43979743,-0.105122509,3,SE27 9BW
Turkey Street,535129,198903,51.67265366,-0.047229931,6,EN3 5TT
Turnham Green,521267,178804,51.49518194,-0.254524568,2,W4 1LR
Turnpike Lane,531524,189650,51.59035813,-0.102805041,3,N15 3NX
Twickenham,516221,173687,51.45025095,-0.328860226,5,TW1 1BD
Upminster,556167,186833,51.55876336,0.251400801,6,RM14 2TD
Upminster Bridge,555002,186681,51.5577188,0.234541889,6,RM12 6PL
Upney,545844,184260,51.53840565,0.101531744,4,IG11 9LS
Upper Holloway,529778,186630,51.5636233,-0.129109364,2,N19 4DJ
Upper Warlingham,534100,158383,51.30877225,-0.077481662,6,CR3 0EP
Upton Park,541204,183931,51.5366282,0.03454184,3,E13 9AP
Uxbridge,505698,184161,51.54645451,-0.47710156,6,UB8 1JZ
Vauxhall,530366,177978,51.4857358,-0.123829953,"1,2",SW8 1SR
Victoria,528941,179131,51.49642395,-0.143920706,1,SW1E 5JX
Waddon,531151,164828,51.36737926,-0.117394077,5,CR0 4NA
Waddon Marsh,531082,165906,51.37708295,-0.117987465,"3,4,5,6",CR0 4XT
Wallington,528841,163985,51.36033154,-0.150863835,5,SM6 0DZ
Waltham Cross,536520,200343,51.68525726,-0.026564257,7,EN8 7LU
Walthamstow Central,537286,188986,51.58301811,-0.019940545,3,E17 7LP
Walthamstow Queens Road,537020,188815,51.58154619,-0.023843943,3,E17 7QZ
Wandle Park,531422,165505,51.37340072,-0.113253321,"3,4,5,6",CR0 4JS
Wandsworth Common,527719,173530,51.4463656,-0.163536981,3,SW12 8NL
Wandsworth Road,529354,176226,51.4702232,-0.139037676,2,SW8 4PA
Wandsworth Town,525985,175119,51.46103408,-0.187910038,2,SW18 1SU
Wanstead,540685,188176,51.57490215,0.028760472,4,E11 2NT
Wanstead Park,540592,185600,51.55177808,0.026389943,3,E7 0HU
Wapping,535030,180170,51.50434032,-0.055860815,2,E1W 3PA
Warren Street,529253,182272,51.52457999,-0.138278332,1,NW1 3AA
Warwick Avenue,526158,182030,51.52310444,-0.182953293,2,W9 2PT
Waterloo,531050,179933,51.50314664,-0.113259252,1,SE1 7NY
Waterloo East,531332,180054,51.50416861,-0.109153638,1,SE1 8NH
Watford,509579,196610,51.6576051,-0.417270007,7,WD18 7LE
Watford High Street,511360,196098,51.6526537,-0.391696729,8,WD17 2EG
Watford Junction,511023,197340,51.66388301,-0.396171957,,WD17 1ET
Wellesley Road,532511,165752,51.37536754,-0.097524909,"3,4,5,6",CR0 2DD
Welling,546096,176073,51.46477709,0.101775038,4,DA16 3AT
Wembley Central,518214,185039,51.55186478,-0.296392327,4,HA9 6AG
Wembley Park,519373,186341,51.56332246,-0.279242553,4,HA9 9AA
Wembley Stadium,518924,185366,51.55465457,-0.286046447,4,HA9 8BQ
West Acton,519394,181273,51.51777015,-0.280657175,3,W3 6UP
West Brompton,525383,178030,51.48732891,-0.195538812,2,SW5 9JX
West Croydon,532188,166098,51.37855217,-0.102034293,5,CR0 2TA
West Drayton,506124,180122,51.51007122,-0.472176097,6,UB7 9DY
West Dulwich,532798,173053,51.44091182,-0.090672676,3,SE21 8HN
West Ealing,516690,180749,51.51362521,-0.319782955,3,W13 0NQ
West Finchley,525507,191601,51.60926273,-0.18891711,4,N3 1NT
West Ham,539202,182974,51.52852552,0.005317394,3,E15 3BN
West Hampstead,525524,184726,51.54747433,-0.191126586,2,NW6 2LX
West Hampstead Thameslink,525423,184852,51.54862912,-0.19253752,2,NW6 1XJ
West Harrow,514163,187957,51.57892424,-0.353846697,5,HA1 4HE
West India Quay,537471,180505,51.50676266,-0.020582447,2,E14 4ED
West Kensington,524635,178321,51.49010936,-0.206203695,2,W14 9NL
West Norwood,531956,171955,51.43124112,-0.103189135,3,SE27 0HS
West Ruislip,508364,186791,51.56958787,-0.437860146,6,HA4 7WD
West Silvertown,540455,180155,51.50288443,0.022246047,3,E16 2AT
West Sutton,525081,164539,51.36615014,-0.204644548,5,SM1 2EH
West Wickham,538266,166563,51.3812842,-0.01457633,5,BR4 0PY
Westbourne Park,524920,181764,51.52098884,-0.200882515,2,W11 1AB
Westcombe Park,540199,178103,51.4845089,0.0177457,3,SE3 7EQ
Westferry,537064,180814,51.50963815,-0.026323137,2,E14 8AD
Westminster,530240,179718,51.50140159,-0.125002079,1,SW1A 2JR
White City,523296,180750,51.51223244,-0.224631931,2,W12 7RH
White Hart Lane,533693,191340,51.60503477,-0.070870327,3,N17 7RP
Whitechapel,534738,181859,51.51958779,-0.059420485,2,E1 1BY
Whitton,514220,173568,51.44958819,-0.357682061,5,TW2 7LG
Whyteleafe,533842,158505,51.30992932,-0.081135165,6,CR3 0AD
Whyteleafe South,534169,157797,51.3034898,-0.076712515,6,CR3 0BD
Willesden Green,523350,184884,51.54937329,-0.222407604,"2,3",NW2 4QT
Willesden Junction,521905,182942,51.53223396,-0.243909143,3,NW10 4RA
Wimbledon,524791,170647,51.42110784,-0.206662836,3,SW19 1PS
Wimbledon Chase,524306,169347,51.40953093,-0.21408977,3,SW20 8DB
Wimbledon Park,525274,172158,51.43458095,-0.199186275,3,SW19 7DZ
Winchmore Hill,531529,194494,51.63388686,-0.100916933,4,N21 3NG
Wood Green,531038,190427,51.59745373,-0.109526589,3,N22 8HH
Wood Lane,523314,180464,51.50965819,-0.224472609,2,W12 7DS
Wood Street,538521,189426,51.58666994,-0.001953898,4,E17 3NZ
Woodford,540952,191778,51.60720184,0.034056202,4,IG8 7QE
Woodgrange Park,541861,185332,51.54905254,0.044572496,"3,4",E7 8AA
Woodmansterne,528720,159385,51.31901858,-0.154262129,6,CR5 3HS
Woodside,534716,167115,51.38709768,-0.065347178,"3,4,5,6",SE25 5DP
Woodside Park,525725,192564,51.6178684,-0.185425505,4,N12 8SE
Woolwich Arsenal,543754,178803,51.48990712,0.069193906,4,SE18 6HX
Woolwich Dockyard,542738,178908,51.49110779,0.054612348,3,SE18 5JY
Worcester Park,522192,166133,51.38110449,-0.245575292,4,KT4 7ND